aX,aY,aZ,gX,gY,gZ
-0.042,1.017,1.893,82.031,-2.869,-23.621
-0.092,1.091,2.029,108.704,11.169,-27.527
-0.142,1.112,2.063,137.024,17.578,-24.414
-0.174,1.087,2.037,158.081,14.587,-16.052
-0.193,1.049,1.997,176.331,3.113,-3.357
-0.217,1.014,1.979,187.622,-10.986,10.498
-0.243,1.001,1.938,199.890,-21.362,27.954
-0.234,0.957,1.871,213.623,-33.508,47.791
-0.199,0.890,1.846,223.083,-49.866,65.002
-0.178,0.856,1.800,242.737,-64.026,80.139
-0.160,0.771,1.671,275.208,-75.806,96.375
-0.159,0.634,1.497,293.701,-85.693,110.474
-0.196,0.519,1.266,309.326,-101.257,128.418
-0.231,0.367,0.995,321.045,-134.277,153.198
-0.224,0.202,0.726,323.608,-179.260,179.077
-0.192,0.063,0.472,327.087,-209.839,186.462
-0.152,-0.057,0.267,326.233,-206.116,170.105
-0.114,-0.120,0.118,322.510,-173.279,140.869
-0.062,-0.169,-0.013,327.271,-123.840,104.065
0.019,-0.257,-0.169,328.369,-71.289,62.927
0.070,-0.341,-0.360,314.697,-32.349,29.846
0.060,-0.380,-0.592,290.283,-23.071,18.738
0.023,-0.437,-0.830,260.193,-37.964,28.748
0.017,-0.536,-1.024,229.187,-58.411,50.049
0.056,-0.605,-1.196,204.163,-77.637,74.097
0.108,-0.652,-1.371,181.091,-91.736,91.003
0.151,-0.694,-1.536,156.799,-96.558,98.572
0.186,-0.662,-1.657,125.671,-94.543,97.839
0.220,-0.542,-1.680,88.562,-84.717,88.196
0.249,-0.372,-1.584,53.223,-61.707,70.251
0.274,-0.160,-1.400,23.193,-33.447,49.316
0.298,0.069,-1.157,-0.244,-10.254,29.968
0.323,0.303,-0.886,-15.076,7.141,16.846
0.352,0.529,-0.633,-22.766,16.846,9.644
0.386,0.717,-0.435,-25.940,19.592,8.362
0.432,0.856,-0.301,-27.954,16.357,11.108
0.491,0.940,-0.212,-26.550,10.010,17.212
0.575,0.974,-0.166,-22.400,1.282,22.766
0.663,0.974,-0.157,-16.052,-6.042,22.278
0.711,0.939,-0.189,-5.615,-6.653,15.381
0.726,0.875,-0.261,3.967,-3.906,7.385
0.727,0.794,-0.347,10.376,-1.465,-1.709
0.703,0.716,-0.424,13.611,-0.916,-9.644
0.658,0.650,-0.496,13.733,-4.089,-14.526
0.607,0.590,-0.561,11.902,-7.446,-17.395
0.552,0.555,-0.596,8.545,-10.193,-18.433
0.492,0.553,-0.604,3.418,-14.893,-16.479
0.434,0.564,-0.604,-2.380,-20.752,-12.451
0.385,0.569,-0.601,-7.751,-24.658,-8.850
0.340,0.564,-0.607,-11.230,-24.231,-7.202
0.303,0.548,-0.630,-14.282,-20.325,-6.165
0.293,0.525,-0.663,-18.677,-14.099,-5.737
0.301,0.503,-0.685,-24.353,-5.798,-7.874
0.298,0.490,-0.684,-28.992,2.625,-11.658
0.277,0.486,-0.684,-33.447,9.460,-13.855
0.246,0.474,-0.700,-40.833,12.329,-13.062
0.220,0.455,-0.710,-50.903,10.864,-9.338
0.199,0.443,-0.700,-60.974,7.629,-5.554
0.178,0.427,-0.686,-69.336,6.836,-2.441
0.169,0.404,-0.682,-77.087,9.521,-0.488
0.167,0.397,-0.665,-85.999,12.207,1.648
0.171,0.399,-0.627,-94.482,14.893,3.845
0.185,0.387,-0.591,-100.769,20.081,5.615
0.207,0.365,-0.572,-105.164,27.893,5.310
0.227,0.328,-0.568,-109.253,39.429,1.160
0.256,0.270,-0.580,-115.295,52.002,-6.470
0.290,0.224,-0.592,-127.686,60.486,-17.456
0.294,0.227,-0.548,-147.949,63.477,-27.893
0.284,0.263,-0.439,-165.161,64.819,-32.410
0.299,0.311,-0.305,-175.598,67.383,-36.377
0.315,0.370,-0.172,-180.237,69.458,-42.358
0.339,0.413,-0.079,-179.504,73.792,-46.387
0.380,0.442,-0.030,-182.007,78.857,-53.589
0.399,0.467,0.017,-187.622,82.581,-64.575
0.417,0.457,0.060,-194.458,89.966,-77.637
0.405,0.455,0.084,-202.515,92.957,-93.079
0.335,0.487,0.141,-210.083,85.022,-104.309
0.249,0.536,0.250,-211.609,77.637,-101.318
0.182,0.597,0.354,-202.942,70.129,-85.999
0.164,0.623,0.416,-187.195,60.425,-62.927
0.178,0.624,0.450,-172.241,44.250,-41.260
0.186,0.602,0.460,-162.292,28.870,-23.926
0.200,0.557,0.443,-159.485,16.602,-9.277
0.214,0.544,0.450,-169.006,9.216,-3.052
0.190,0.592,0.512,-179.504,15.808,-1.221
0.191,0.621,0.597,-176.086,43.457,-3.845
0.257,0.602,0.664,-169.556,83.557,-19.592
0.318,0.573,0.709,-167.786,122.559,-45.959
0.385,0.522,0.777,-173.218,139.954,-78.552
0.360,0.542,0.877,-186.768,123.047,-106.506
0.208,0.636,0.978,-191.772,105.164,-109.253
0.089,0.741,1.110,-190.430,97.839,-96.069
0.058,0.818,1.284,-174.255,97.107,-85.022
0.093,0.822,1.414,-146.057,99.487,-80.566
0.102,0.814,1.461,-127.075,90.393,-82.764
0.067,0.788,1.484,-116.150,69.702,-81.421
-0.003,0.802,1.533,-118.652,41.260,-76.050
-0.111,0.905,1.614,-120.483,21.851,-63.110
-0.172,0.999,1.676,-109.009,19.775,-45.715
-0.169,1.051,1.697,-88.135,21.912,-32.532
-0.166,1.064,1.681,-59.631,18.311,-21.851
-0.179,1.029,1.573,-28.748,6.775,-2.747
-0.163,0.940,1.399,-11.230,-13.733,19.897
-0.124,0.852,1.243,-8.911,-34.790,34.973
-0.089,0.812,1.136,-12.329,-44.922,41.260
-0.045,0.799,1.085,-15.747,-38.879,38.513
-0.003,0.795,1.073,-15.747,-20.386,24.902
0.018,0.789,1.051,-9.521,-0.183,9.155
0.016,0.778,0.993,-3.357,11.353,0.793
0.010,0.763,0.932,-1.404,11.658,1.221
0.014,0.744,0.896,-0.854,6.653,6.042
0.022,0.729,0.870,0.916,2.686,11.841
0.048,0.706,0.838,2.930,0.549,16.541
0.097,0.669,0.811,2.686,-2.747,17.334
0.132,0.643,0.795,-0.244,-6.714,14.160
0.133,0.641,0.786,-2.075,-8.240,11.902
0.131,0.643,0.779,-2.380,-8.301,12.268
0.142,0.638,0.777,-1.892,-9.827,13.672
0.155,0.632,0.783,0.122,-10.864,13.245

0.089,1.047,1.566,70.190,4.578,-15.198
0.065,1.090,1.630,84.717,10.925,-21.240
0.042,1.125,1.700,101.685,16.479,-25.757
0.019,1.165,1.782,116.211,21.362,-31.250
-0.022,1.215,1.844,135.498,25.818,-33.691
-0.061,1.238,1.833,158.203,24.475,-28.442
